Attack,Defense,HP,Legendary,Sp. Atk,Sp. Def,Speed,winner
-6.0,10,-9.5,0.0,-15.0,10,-19,-1
51.0,-18,13.650000000000006,0.0,108.0,39,0,-1
-35.0,10,-8.75,0.0,-45.0,10,0,-1
-100.0,-50,-25.450000000000003,0.0,-25.0,-50,-28,-1
110.0,-105,53.0,0.0,220.0,-160,50,1
-26.5,-100,-1.0,0.0,-21.5,-100,5,1
0.0,10,-15.25,0.0,-45.0,-50,-25,-1
-100.0,-70,-57.5,-1.0,-100.0,-85,-55,-1
12.0,28,7.5,0.0,-23.0,-28,-29,-1
-25.0,-10,10.25,0.0,5.0,-20,-5,-1
10.0,-25,14.5,0.0,-40.0,-25,-25,-1
99.0,5,58.7,1.0,17.0,25,78,1
-90.0,-35,-35.0,0.0,-60.0,-65,-30,-1
-15.0,15,-10.75,0.0,15.0,-10,25,1
234.0,100,40.5,0.0,96.0,70,5,1
-32.0,11,-15.450000000000003,0.0,3.0,12,-21,-1
0.0,5,53.5,-1.0,-30.0,-5,-55,-1
-60.0,-20,-40.0,0.0,-20.0,15,0,-1
240.0,-62,27.5,0.0,230.0,-80,62,1
45.0,0,-3.5999999999999943,0.0,1.0,-25,41,1
-59.0,-32,8.75,0.0,21.0,6,-20,-1
-47.0,-15,38.60000000000001,0.0,-73.0,-30,0,-1
-15.0,-40,4.0,0.0,-80.0,-5,-40,-1
140.0,20,45.5,0.0,-55.0,-60,20,1
-40.0,-10,-1.75,0.0,-5.0,-10,-73,-1
-60.0,10,21.0,0.0,-30.0,54,20,1
-31.0,15,-12.25,0.0,14.0,-5,-44,-1
67.0,26,4.700000000000003,0.0,61.0,0,-26,-1
-20.0,16,7.0,0.0,-55.0,-9,40,1
170.0,36,-4.899999999999999,0.0,13.0,-33,5,1
65.0,-40,12.0,0.0,-35.0,-50,-42,-1
-50.0,-10,4.0,0.0,5.0,60,-40,-1
-52.5,-25,2.75,0.0,-17.5,5,-100,-1
25.0,47,11.75,0.0,65.0,32,36,1
-87.5,-63,-18.75,0.0,-35.0,-25,38,-1
2.0,-82,26.0,0.0,89.0,-38,-32,-1
45.0,29,17.700000000000003,0.0,5.0,29,-12,-1
-20.0,20,-12.25,0.0,-75.0,-30,2,1
-30.0,16,43.5,0.0,20.0,51,-45,-1
-10.0,4,15.25,0.0,-30.0,4,-23,-1
-10.0,15,20.25,0.0,-29.0,-5,-22,-1
-36.0,15,52.4,0.0,-18.0,35,12,1
-3.0,-2,-15.25,0.0,-15.0,-15,-50,1
64.0,-53,-21.39999999999999,0.0,29.0,-71,-20,-1
-10.0,-10,11.649999999999999,0.0,5.0,-20,-29,-1
6.0,-26,-21.5,0.0,-31.0,-14,40,1
-27.0,11,6.900000000000006,0.0,-59.0,34,-26,-1
64.0,85,-2.75,0.0,30.0,60,36,1
-55.0,170,-90.5,0.0,-100.0,135,-60,-1
52.0,-40,-17.349999999999994,0.0,-5.0,-30,-68,-1
9.0,81,-8.25,0.0,14.0,33,-53,-1
